"requirement_id","audit_requirement","audit_screen_ids","surface_group","scope","classification","evidence_references","implementation_status","implementation_reference","automated_test_reference","test_status","validation_reference","visual_status","known_deviation_ids","notes","flow_id","deviation_reason"
"SCR-000","Emulator Baseline / emulator_baseline","000_emulator_baseline","emulator_baseline","baseline","CONFIRMED","evidence/screenshots/000_emulator_baseline-20260801-130625.png;evidence/ui-xml/000_emulator_baseline-20260801-130625.xml;screens/screen-specs/000_emulator_baseline.json","NOT_APPLICABLE","","","NOT_APPLICABLE","","NOT_APPLICABLE","","Android launcher baseline; outside the target app.","",""
"SCR-001","Launch Default / launch_default","001_launch_default","launch_default","excluded_repackaging","CONFIRMED","evidence/screenshots/001_launch_default-20260801-130657.png;evidence/ui-xml/001_launch_default-20260801-130657.xml;screens/screen-specs/001_launch_default.json","EXCLUDED","","","NOT_APPLICABLE","","NOT_APPLICABLE","DEV-009","Excluded from native analysis: LiteAPKS/repackaging promotional overlay supplied by the APK distribution artifact.","","Explicitly excluded third-party distribution overlay."
"SCR-002","Welcome Default / welcome_default","002_welcome_default","onboarding_welcome","native","CONFIRMED","evidence/screenshots/002_welcome_default-20260801-130744.png;evidence/ui-xml/002_welcome_default-20260801-130744.xml;screens/screen-specs/002_welcome_default.json","IMPLEMENTED","app/src/main/java/com/sysadmindoc/nono/ui/OnboardingScreen.kt","validation/reports/unit-test-results.json;validation/reports/instrumentation-test-results.json;validation/diffs/002_welcome_default-metrics.json","PASS","validation/current/002_welcome_default.png;validation/diffs/002_welcome_default-metrics.json","FAIL_THRESHOLD_DOCUMENTED","DEV-001;DEV-002;DEV-003;DEV-008","","F01","Independent identity, artwork, and platform-controlled prompts."
"SCR-003","Notification Permission Dialog / notification_permission_dialog","003_notification_permission_dialog","notification_permission_dialog","external_system","CONFIRMED","evidence/screenshots/003_notification_permission_dialog-20260801-130832.png;evidence/ui-xml/003_notification_permission_dialog-20260801-130832.xml;screens/screen-specs/003_notification_permission_dialog.json","BEHAVIORALLY_VALIDATED","app/src/main/java/com/sysadmindoc/nono/ui/OnboardingScreen.kt;app/src/main/java/com/sysadmindoc/nono/ui/SettingsScreen.kt","validation/reports/permission-step-0.xml;validation/reports/permission-listener-settings.xml;validation/reports/permission-complete-home.xml","DEVICE_HANDOFF_PASS","","NOT_APPLICABLE","DEV-008","","F01","Android owns and renders the destination UI; the replica invokes the corresponding public intent."
"SCR-004","Welcome Notifications Granted / welcome_notifications_granted","004_welcome_notifications_granted","onboarding_welcome","native","CONFIRMED","evidence/screenshots/004_welcome_notifications_granted-20260801-130902.png;evidence/ui-xml/004_welcome_notifications_granted-20260801-130902.xml;screens/screen-specs/004_welcome_notifications_granted.json","IMPLEMENTED","app/src/main/java/com/sysadmindoc/nono/ui/OnboardingScreen.kt","validation/reports/unit-test-results.json;validation/reports/instrumentation-test-results.json;validation/diffs/004_welcome_notifications_granted-metrics.json","PASS","validation/current/004_welcome_notifications_granted.png;validation/diffs/004_welcome_notifications_granted-metrics.json","FAIL_THRESHOLD_DOCUMENTED","DEV-001;DEV-002;DEV-003;DEV-008","","F01","Independent identity, artwork, and platform-controlled prompts."
"SCR-005","Background Access System / background_access_system","005_background_access_system","background_access_system","external_system","CONFIRMED","evidence/screenshots/005_background_access_system-20260801-130930.png;evidence/ui-xml/005_background_access_system-20260801-130930.xml;screens/screen-specs/005_background_access_system.json","BEHAVIORALLY_VALIDATED","app/src/main/java/com/sysadmindoc/nono/ui/OnboardingScreen.kt;app/src/main/java/com/sysadmindoc/nono/ui/SettingsScreen.kt","validation/reports/permission-step-0.xml;validation/reports/permission-listener-settings.xml;validation/reports/permission-complete-home.xml","DEVICE_HANDOFF_PASS","","NOT_APPLICABLE","DEV-008","","F01","Android owns and renders the destination UI; the replica invokes the corresponding public intent."
"SCR-006","Welcome Background Allowed / welcome_background_allowed","006_welcome_background_allowed","onboarding_welcome","native","CONFIRMED","evidence/screenshots/006_welcome_background_allowed-20260801-131002.png;evidence/ui-xml/006_welcome_background_allowed-20260801-131002.xml;screens/screen-specs/006_welcome_background_allowed.json","VISUALLY_VALIDATED","app/src/main/java/com/sysadmindoc/nono/ui/OnboardingScreen.kt","validation/reports/unit-test-results.json;validation/reports/instrumentation-test-results.json;validation/diffs/006_welcome_background_allowed-metrics.json","PASS","validation/current/006_welcome_background_allowed.png;validation/diffs/006_welcome_background_allowed-metrics.json","PASS_THRESHOLD","DEV-001;DEV-002;DEV-003;DEV-008","","F01","Independent identity, artwork, and platform-controlled prompts."
"SCR-007","Notification Access System / notification_access_system","007_notification_access_system","notification_access_system","external_system","CONFIRMED","evidence/screenshots/007_notification_access_system-20260801-131033.png;evidence/ui-xml/007_notification_access_system-20260801-131033.xml;screens/screen-specs/007_notification_access_system.json","BEHAVIORALLY_VALIDATED","app/src/main/java/com/sysadmindoc/nono/ui/OnboardingScreen.kt;app/src/main/java/com/sysadmindoc/nono/ui/SettingsScreen.kt","validation/reports/permission-step-0.xml;validation/reports/permission-listener-settings.xml;validation/reports/permission-complete-home.xml","DEVICE_HANDOFF_PASS","","NOT_APPLICABLE","DEV-008","","F01","Android owns and renders the destination UI; the replica invokes the corresponding public intent."
"SCR-008","Notification Access Warning / notification_access_warning","008_notification_access_warning","notification_access_warning","external_system","CONFIRMED","evidence/screenshots/008_notification_access_warning-20260801-131100.png;evidence/ui-xml/008_notification_access_warning-20260801-131100.xml;screens/screen-specs/008_notification_access_warning.json","BEHAVIORALLY_VALIDATED","app/src/main/java/com/sysadmindoc/nono/ui/OnboardingScreen.kt;app/src/main/java/com/sysadmindoc/nono/ui/SettingsScreen.kt","validation/reports/permission-step-0.xml;validation/reports/permission-listener-settings.xml;validation/reports/permission-complete-home.xml","DEVICE_HANDOFF_PASS","","NOT_APPLICABLE","DEV-008","","F01","Android owns and renders the destination UI; the replica invokes the corresponding public intent."
"SCR-009","Notification Access Confirmation / notification_access_confirmation","009_notification_access_confirmation","notification_access_confirmation","external_system","CONFIRMED","evidence/screenshots/009_notification_access_confirmation-20260801-131126.png;evidence/ui-xml/009_notification_access_confirmation-20260801-131126.xml;screens/screen-specs/009_notification_access_confirmation.json","BEHAVIORALLY_VALIDATED","app/src/main/java/com/sysadmindoc/nono/ui/OnboardingScreen.kt;app/src/main/java/com/sysadmindoc/nono/ui/SettingsScreen.kt","validation/reports/permission-step-0.xml;validation/reports/permission-listener-settings.xml;validation/reports/permission-complete-home.xml","DEVICE_HANDOFF_PASS","","NOT_APPLICABLE","DEV-008","","F01","Android owns and renders the destination UI; the replica invokes the corresponding public intent."
"SCR-010","Home Empty / home_empty","010_home_empty","rules_home","native","CONFIRMED","evidence/screenshots/010_home_empty-20260801-131212.png;evidence/ui-xml/010_home_empty-20260801-131212.xml;screens/screen-specs/010_home_empty.json","VISUALLY_VALIDATED","app/src/main/java/com/sysadmindoc/nono/ui/RulesScreens.kt","validation/reports/unit-test-results.json;validation/reports/instrumentation-test-results.json;validation/diffs/010_home_empty-metrics.json","PASS","validation/current/010_home_empty.png;validation/diffs/010_home_empty-metrics.json","PASS_THRESHOLD","DEV-002;DEV-004;DEV-005","","F01;F02","System typography/accessibility adjustments and safe local simulation replace unknown runtime internals."
