flow_id,flow_name,status,entry_state,end_state,safe_actions_performed,untested_or_blocked,evidence
F01,First launch onboarding,FULLY_TESTED,Fresh install launch,Rules empty,"Granted notifications, background exemption, notification listener",Permission denial branches not selected,"002;003;004;005;006;007;008;009;010"
F02,Primary navigation and empty states,FULLY_TESTED,Rules empty,Settings default,"Visited Rules, History, Explore, Settings",None for primary navigation,"010;011;013;016"
F03,Create rule and content filter,FULLY_TESTED,Rules empty,Filtered rule builder,"Opened app selector; searched; composed phrase; inspected extras, nested group and operators",Location/sensor contextual filters only observed in suggestion preview,"029;030;031;032;034;036;039;040;041;042;043"
F04,Action catalog and selection,FULLY_TESTED,Filtered rule builder,Complete rule builder,"Scrolled all visible action categories; selected Mute",No action executed against a real notification,"049;050;051;052;053;054;055;056;057;058;061;062"
F05,Save and manage rule,PARTIALLY_TESTED,Complete rule builder,Disabled saved rule,"Saved, disabled, opened More, inspected enable-for/folder/rename, reopened editor","Duplicate, rename commit, folder commit and delete not executed","063;064;065;066;068;069;070"
F06,History empty and search,FULLY_TESTED,History empty,No-result search,"Opened search; entered sanitized query; backed out",No loading/error state observed,"013;014;015"
F07,History populated and item actions,PARTIALLY_TESTED,One Shell test notification,Activity Changes tab,"Opened item menu and View activity; switched Rules/Changes; tested filters","Restore, open, copy, create rule and delete not invoked","071;072;073;074;075;076"
F08,Explore articles and scroll,PARTIALLY_TESTED,Explore top,Explore bottom,"Scrolled full list; opened one article handoff","Chrome onboarding not completed; article content not audited","011;012;077;078;079;080;081"
F09,Explore suggestion preview,FULLY_TESTED,Explore bottom,Prepopulated rule builder,Opened Flashlight suggestion in builder,Did not save suggestion,"082"
F10,Settings and dialogs,PARTIALLY_TESTED,Settings top,Settings bottom,"Scrolled all settings; opened safe selection dialogs; opened shortcut editor and folder picker","Import/export execution, delete all rules, external support/community/settings links not completed","016;017;018;019;020;021;022;023;024;025;026;027;028"
F11,Backup import and export,NOT_TESTED,Settings Backup section,No change,Opened automatic-backup picker then canceled,No folder/file selection or serialization,"018;026"
F12,Lifecycle and persistence,FULLY_TESTED,Disabled rule,Disabled rule after relaunch,"Background/resume; force-stop/relaunch; checked memory and startup timing",True cold process start unavailable while listener remained live,"064;085;evidence/measurements/runtime-*"
F13,Rotation,FULLY_TESTED,Rules portrait,Rules portrait restored,Rotated to landscape and restored orientation,Other screens/orientations not rotated,"087"
F14,Permission-dependent action execution,NOT_TESTED,Action catalog,No change,No dangerous action executed,"Alarm, reply, press, open, flashlight, ringer/DND, biometric, location, Bluetooth, reboot and clipboard behavior","049-058"
F15,Third-party integrations,NOT_TESTED,Action catalog,No change,No external app configured,"Tasker, MacroDroid, Wear, Quick Settings and sharing completion","057;058;evidence/package/dumpsys-package-20260801-140502.txt"
